name,validation_code,tab_name,ad_tab_id
DOCBASETYPE,@SQL=select max(docbasetype) from c_doctype where c_doctype_id = @c_doctype_id@,Header,296
HAS_M_INOUTLINES,@SQL=select 'Y' from dual where exists (select 1 from m_inoutline where m_inout_id = @M_INOUT_ID@),Header,296
ISLOGISTICAUX,N,Header,296
ATTRIBUTESET,@SQL=SELECT M_ATTRIBUTESET_ID FROM M_PRODUCT WHERE M_PRODUCT_ID=@M_Product_ID@,Lines,297
ATTRSETVALUETYPE,@SQL=SELECT ATTRSETVALUETYPE FROM M_PRODUCT WHERE M_PRODUCT_ID=@M_Product_ID@,Lines,297
C_BPARTNER_ID,@C_BPARTNER_ID@,Lines,297
DOCBASETYPE,"@SQL=select max(dt.docbasetype) from m_inout io join c_doctype dt on (io.c_doctype_id = dt.c_doctype_id)
where io.m_inout_id = @m_inout_id@",Lines,297
HASSECONDUOM,@SQL=SELECT (CASE COUNT(*) WHEN 0 THEN 0 ELSE 1 END) AS TOTAL FROM M_PRODUCT_UOM WHERE M_PRODUCT_ID=@M_Product_ID@ AND ISACTIVE='Y',Lines,297
isBOM,@SQL=SELECT isBOM FROM M_PRODUCT WHERE M_PRODUCT_ID = @M_PRODUCT_ID@,Lines,297
IsStocked,@SQL=SELECT IsStocked FROM M_PRODUCT WHERE M_PRODUCT_ID = @M_PRODUCT_ID@,Lines,297
M_Warehouse_ID,@SQL=SELECT M_Warehouse_ID FROM M_INOUT WHERE M_INOUT_ID = @M_INOUT_ID@,Lines,297
OnHandLocatorDefault,@SQL=SELECT M_LOCATOR_ID FROM M_LOCATOR WHERE ISACTIVE='Y' AND M_WAREHOUSE_ID = (SELECT M_WAREHOUSE_ID FROM M_INOUT WHERE M_INOUT_ID = @M_INOUT_ID@) ORDER BY M_LOCATOR.ISDEFAULT DESC,Lines,297
Parent_AD_Org,"@SQL= SELECT AD_ORG_ID
FROM M_INOUT
WHERE M_INOUT_ID = @M_INOUT_ID@",Lines,297
Posted,@SQL=SELECT POSTED FROM M_INOUT WHERE M_INOUT_ID = @M_INOUT_ID@,Lines,297
Processed,@SQL=SELECT PROCESSED FROM M_INOUT WHERE M_INOUT_ID = @M_INOUT_ID@,Lines,297
DOCBASETYPE,"@SQL=select max(dt.docbasetype) from m_inoutline_acctdimension iolacct 
                           join m_inoutline iol on (iolacct.m_inoutline_id=iol.m_inoutline_id)
                           join m_inout io on (iol.m_inout_id=io.m_inout_id)
                           join c_doctype dt on (io.c_doctype_id = dt.c_doctype_id)
                           where io.m_inout_id = @m_inout_id@",Accounting dimension,CBC8BFA997564DBFB9567755EE83C4A9
HeaderStatus,@SQL=SELECT DOCSTATUS FROM M_INOUT WHERE M_INOUT_ID = @M_INOUT_ID@,Landed Cost,0F76B56EB2874C729ABE1665D5853E9D
LCC_Account_ID,@SQL=SELECT ACCOUNT_ID FROM M_LC_TYPE WHERE M_LC_TYPE_ID = @M_LC_TYPE_ID@,Landed Cost,0F76B56EB2874C729ABE1665D5853E9D
LCC_Product_ID,@SQL=SELECT M_PRODUCT_ID FROM M_LC_TYPE WHERE M_LC_TYPE_ID = @M_LC_TYPE_ID@,Landed Cost,0F76B56EB2874C729ABE1665D5853E9D
