name,displaylogic,readonlylogic,columnname
Price List,,@Processed@='Y' | @DocStatus@='TMP',M_PriceList_ID
Client,,@Processed@='Y',AD_Client_ID
Document No.,,@Processed@='Y' | @DocStatus@='TMP',DocumentNo
Process Order,@DocStatus@!'CL'&@DocStatus@!'VO',,DocAction
Transaction Document,,@Processed@='Y' | @DocStatus@='TMP',C_DocTypeTarget_ID
Delivered,@Processed@='Y',,IsDelivered
Order Date,,@Processed@='Y',DateOrdered
Scheduled Delivery Date,@OrderType@='OB' | @OrderType@='SO',@Processed@='Y',DatePromised
Accounting Date,,@Posted@='Y',DateAcct
Payment Terms,,@Processed@='Y',C_PaymentTerm_ID
Invoice Address,,@Processed@='Y' | @DocStatus@='TMP',BillTo_ID
Invoice Terms,@OrderType@='SO' | @OrderType@='WP' | @OrderType@='PR' | @OrderType@='WR',,InvoiceRule
Delivery Method,@OrderType@='SO' | @OrderType@='WP' | @OrderType@='PR' | @OrderType@='WR' | @OrderType@='WI',@Processed@='Y',DeliveryViaRule
Shipping Company,@DeliveryViaRule@='S' & (@OrderType@='SO' | @OrderType@='WP' | @OrderType@='PR' | @OrderType@='WR' | @OrderType@='WI'),,M_Shipper_ID
Priority,@OrderType@='SO' | @OrderType@='WP',@Processed@='Y',PriorityRule
Warehouse,,@Processed@='Y',M_Warehouse_ID
User/Contact,,@Processed@='Y',AD_User_ID
Business Partner,@ACCT_DIMENSION_DISPLAY@,@Processed@='Y' | @DocStatus@='TMP',C_BPartner_ID
Organization,@ACCT_DIMENSION_DISPLAY@,@Processed@='Y',AD_Org_ID
Charge Amount,,@Processed@='Y',ChargeAmt
Charge,,@Processed@='Y',C_Charge_ID
Activity,@$Element_AY@='Y',@Posted@='Y',C_Activity_ID
Partner Address,,@Processed@='Y' | @DocStatus@='TMP',C_BPartner_Location_ID
Project,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',C_Project_ID
Freight Cost Rule,@OrderType@='SO',,FreightCostRule
Form of Payment,@FinancialManagement@='',@Processed@='Y',PaymentRule
Posted,@Processed@='Y' & @#ShowAcct@='Y',,Posted
Drop Ship Contact,,@Processed@='Y',DropShip_User_ID
Drop Ship Partner,,@Processed@='Y',DropShip_BPartner_ID
Copy Lines,@processed@='N',,CopyFrom
Drop Ship Location,,@Processed@='Y' | @DocStatus@='TMP',DropShip_Location_ID
Trx Organization,@$Element_OT@='Y',@Processed@='Y',AD_OrgTrx_ID
Reject Reason,,@DocStatus@='CJ'|@DocStatus@='CA',C_Reject_Reason_ID
2nd Dimension,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',User2_ID
1st Dimension,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',User1_ID
Copy from Orders,@processed@='N',,CopyFromPO
CRM Reference,@BPartner_ExtRef@!'',,BPartner_ExtRef
Canceled Order,@Cancelledorder_id@!'',,Cancelledorder_id
Cancel and Replace,@DocStatus@='CO'&@Cancelledorder_id@=''&@Iscancelled@='N' & @OrderType@='SO' & @EnableCanceAndReplace@!'',,Cancelandreplace
Asset,@$Element_AS@='Y',@Posted@='Y',A_Asset_ID
Calculate Promotions,@DocStatus@='DR' & @PromotionsDefined@='Y',,Calculate_Promotions
Quotation,@Quotation_ID@ ! '' & @Quotation_ID@ ! 'null' & @Quotation_ID@ ! null,,Quotation_ID
Reservation Status,@StockReservations@!'',,SO_Res_Status
Replaced Order,@Replacedorder_id@!'',,Replacedorder_id
Confirm Cancel and Replace,@DocStatus@='TMP' & @OrderType@='SO' & @EnableCanceAndReplace@!'',,Confirmcancelandreplace
Cost Center,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',C_Costcenter_ID
Add Payment,@Processed@='Y' & (@showAddPayment@='Y' | @showAddPayment@ ='') & (@APRM_OrderIsPaid@='N' | @APRM_OrderIsPaid@ ='') & @GrandTotal@!0,,EM_APRM_AddPayment
Payment Method,,@Processed@='Y',FIN_Paymentmethod_ID
Freight Amount,@OrderType@='SO' & @FreightCostRule@='F',,FreightAmt
Sales Campaign,@$Element_MC@='Y',@Posted@='Y',C_Campaign_ID
Delivery Terms,@OrderType@='SO' | @OrderType@='WP',@Processed@='Y',DeliveryRule
Client,,@Processed@='Y',AD_Client_ID
Line No.,,@Processed@='Y',Line
Order Date,@OrderType@='OB' | @OrderType@='SO' | @OrderType@='WP',,DateOrdered
Scheduled Delivery Date,@OrderType@='OB' | @OrderType@='SO' | @OrderType@='WP',,DatePromised
Product,,@Processed@='Y',M_Product_ID
UOM,,@UomManagement@='Y',C_UOM_ID
Warehouse,@DirectShip@='N',@OrderType@!'SO',M_Warehouse_ID
Ordered Quantity,,@Processed@='Y' | (@IsSOTrx@='Y' & @ISLINKEDTOPRODUCT@='Y' & @PRODUCTTYPE@='S') | @UomManagement@='Y',QtyOrdered
Delivered Quantity,@Processed@='Y' & @IsStocked@ = 'Y',,QtyDelivered
Invoiced Quantity,@OrderType@='SO' | @Processed@='Y',,QtyInvoiced
Shipping Company,@DeliveryViaRule@='S',,M_Shipper_ID
Net List Price,@GROSSPRICE@='N',@Processed@='Y',PriceList
Net Unit Price,,@Processed@='Y' | @GROSSPRICE@='Y',PriceActual
Tax,,@Processed@='Y',C_Tax_ID
Business Partner,(@OrderType@='OB' | @OrderType@='SO' | @OrderType@='WP' | @Processed@='Y') & @C_Order_Discount_ID@='',@Posted@='Y',C_BPartner_ID
Organization,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',AD_Org_ID
Charge Amount,@HasCharge@='Y',@Processed@='Y',ChargeAmt
Direct shipment,,@Processed@='Y',DirectShip
Freight Amount,@FreightCostRule@='L',,FreightAmt
Charge,@HasCharge@='Y',@Processed@='Y',C_Charge_ID
Partner Address,(@OrderType@='OB' | @OrderType@='SO' | @OrderType@='WP' | @Processed@='Y') & @C_Order_Discount_ID@='',,C_BPartner_Location_ID
Line Net Amount,,@Iseditlinenetamt@='N'|@GROSSPRICE@='Y',LineNetAmt
Discount,,@Processed@='Y',Discount
Attribute Set Value,(@ATTRIBUTESET@!''&@ATTRSETVALUETYPE@!'F')|(@M_AttributeSetInstance_ID@!''&@M_AttributeSetInstance_ID@!'0'),@Processed@='Y' | @ATTRIBUTESETINSTANCIABLE@='Y',M_AttributeSetInstance_ID
Order UOM,(@HASSECONDUOM@=1 & @UomManagement@!'Y')  | (@UomManagement@='Y' & @M_Product_Uom_Id@!''),@Processed@='Y',M_Product_Uom_Id
Order Quantity,(@HASSECONDUOM@=1 & @UomManagement@!'Y')  | (@UomManagement@='Y' & @M_Product_Uom_Id@!''),@Processed@='Y',QuantityOrder
Print Description,@PRODUCTTYPE@='S',,Print_Description
Cancel Discounts and Promotions,@IsStocked@ = 'Y',,CANCELPRICEAD
Operative Quantity,@M_Product_Uom_Id@='',@Processed@='Y',Aumqty
Overdue Return Days,@PRODUCTTYPE@='S',,Overdue_Return_Days
Line Gross Amount,@GROSSPRICE@='Y',,Line_Gross_Amount
1st Dimension,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',User1_ID
Gross Unit Price,@GROSSPRICE@='Y',@Processed@='Y' | @GROSSPRICE@='N',Gross_Unit_Price
Alternate Taxable Amount,@UsesAlternate@='Y',@Processed@='Y',Taxbaseamt
Edit Line Net Amount,,@Processed@='Y',Iseditlinenetamt
Project,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',C_Project_ID
Explode,@IsStocked@='N' & @isBOM@='Y' & @explode@!'Y' & @Processed@='N',,Explode
Cost Center,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',C_Costcenter_ID
Asset,@$Element_AS@='Y',@Posted@='Y',A_Asset_ID
Quotation Line,@Quotationline_ID@ ! '' & @Quotationline_ID@ ! 'null' & @Quotationline_ID@ ! null,,Quotationline_ID
Gross List Price,@GROSSPRICE@='Y',,GrossPriceList
2nd Dimension,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',User2_ID
Stock Reservation,@StockReservations@!'',@processed@='Y',Create_Reservation
Reservation Status,@StockReservations@!'',,SO_Res_Status
Manage Reservation,@StockReservations@!'' & @processed@='Y' & @qtyordered@!@qtydelivered@ & @DocStatus@!'CL',,Manage_Reservation
Manage_Prereservation,@StockReservations@!'',,Manage_Prereservation
Replaced Order Line,@Replacedorderline_id@!'',,Replacedorderline_id
Alternative UOM,@M_Product_Uom_Id@='',@Processed@='Y',C_Aum
Select Order Line,@LINKEDTOPRODUCT@='Y' & @Processed@='N',,Relate_Orderline
Reserved Quantity,@OrderType@='OB' | @OrderType@='SO' | @Processed@='Y',,QtyReserved
Base Net Unit Price,@GROSSPRICE@='N',,PriceStd
Base Gross Unit Price,@GROSSPRICE@='Y',,grosspricestd
Base Net Unit Price,@GROSSPRICE@='N',,Priceoffer
Base Gross Unit Price,@GROSSPRICE@='Y',,Priceoffergross
Client,,@Processed@='Y',AD_Client_ID
Organization,,@Processed@='Y',AD_Org_ID
Basic Discount,,@Processed@='Y',C_Discount_ID
Cascade,,@Processed@='Y',Cascade
Active,,@Processed@='Y',Isactive
Line No.,,@Processed@='Y',Line
Vendor,,@Posted@='Y',C_BPartner_ID
Product,,@Processed@='Y',M_Product_ID
Line No.,,@Processed@='Y',Line
Document No.,,@Processed@='Y' | @DocStatus@='TMP',DocumentNo
Attribute Set Value,,@Processed@='Y' | @ATTRIBUTESETINSTANCIABLE@='Y',M_AttributeSetInstance_ID
Product,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',M_Product_ID
2nd Dimension,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',User2_ID
Sales Campaign,@$Element_MC@='Y',@Posted@='Y',C_Campaign_ID
Cost Center,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',C_Costcenter_ID
Asset,@$Element_AS@='Y',@Posted@='Y',A_Asset_ID
1st Dimension,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',User1_ID
Active,,@Posted@='Y',Isactive
Project,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',C_Project_ID
Business Partner,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',C_Bpartner_ID
Organization,@ACCT_DIMENSION_DISPLAY@,@Posted@='Y',AD_Org_ID
Activity,@$Element_AY@='Y',@Posted@='Y',C_Activity_ID
Amount,,@Posted@='Y',Amt
Expected (Account Currency),@C_Currency_ID@!@FinAcc_Currency_ID@,,ExpectedConverted
Received (Account Currency),@C_Currency_ID@!@FinAcc_Currency_ID@,,PaidConverted
Exchange Rate,@C_Currency_ID@!@FinAcc_Currency_ID@,,Finacc_Txn_Convert_Rate
Amount,,@IsValid@='Y',Amount
Manual,,@IsValid@='Y',IsManual
Currency,,@IsValid@='Y',C_Currency_ID
